excelRow,id,no,town,creek,point,landmark,matched,slide,score,image,title
12,row-12,11.1,大武鄉,東縣DF102野溪,東縣DF102潛勢溪流溢流點(BD02),西勢橋,YES,23,75,slides/row-12-no-11.1-slide-023.webp,"東縣 DF102 TWD97 ： 237066,2470162 DF102( 編號 11.1) 西勢橋 勘查日期： 2025/6/17 114"
13,row-13,13,大武鄉,東縣DF104野溪,東縣DF104潛勢溪流溢流點,環港路41巷,YES,25,75,slides/row-13-no-13-slide-025.webp,DF104( 編號 13) 環港路 41 巷 勘查日期： 2025/6/17 114 年檢視情形 S 淤
14,row-14,14,大武鄉,東縣DF105野溪,東縣DF105潛勢溪流溢流點,環港路5巷,YES,26,75,slides/row-14-no-14-slide-026.webp,DF105( 編號 14) 環港路 5 巷 勘查日期： 2025/6/17 114 年檢視情形 上游 S
15,row-15,15,大武鄉,東縣DF106野溪,東縣DF106潛勢溪流溢流點,尚武國小後方,YES,27,75,slides/row-15-no-15-slide-027.webp,DF106( 編號 15) 尚武國小後方 勘查日期： 2025/6/17 114 年檢視情形 上游 東縣 DF106 集水區面積
16,row-16,17,大武鄉,東縣DF108野溪,東縣DF108潛勢溪流溢流點(BD01),南興地磅檢查站,YES,30,75,slides/row-16-no-17-slide-030.webp,DF108( 編號 17) 南興地磅檢查站 勘查日期： 2025/6/17 114 年檢視情形 暗渠無法量測 2m 3m 東縣
17,row-17,18,大武鄉,東縣DF109野溪,東縣DF109潛勢溪流溢流點,南興休息站,YES,31,75,slides/row-17-no-18-slide-031.webp,DF109( 編號 18) 南興休息站 勘查日期： 2025/6/17 114 年檢視情形 上游 S 淤 =3°
18,row-18,19,大武鄉,東縣DF164野溪,東縣DF164潛勢溪流溢流點(BD01),台水十區愛國蒲淨水廠,YES,32,75,slides/row-18-no-19-slide-032.webp,DF164( 編號 19) 台水十區愛國蒲淨水廠 勘查日期： 2025/5/19 114 年檢視情形 東縣 DF164 集水區面積 (ha)
19,row-19,19.1,大武鄉,東縣DF164野溪,東縣DF164潛勢溪流溢流點(CD01),愛國蒲工作地,YES,33,60,slides/row-19-no-19.1-slide-033.webp,DF164( 編號 19.1) 愛國橋 勘查日期： 2025/5/19 114 年檢視情形 上游 S 淤 =3°
20,row-20,21,大武鄉,加羅板野溪重大溪段,加羅板橋,加羅板橋,YES,35,80,slides/row-20-no-21-slide-035.webp,"加羅板野溪重大溪段 ( 編號 21) 勘查日期： 2025/6/17 114 年檢視情形 上游 集水區面積 (ha) 2,540"
21,row-21,22,大武鄉,大鳥部落南一溝野溪重大溪段,箱涵,大鳥部落南一溝,YES,36,95,slides/row-21-no-22-slide-036.webp,大鳥部落南一溝野溪重大溪段 ( 編號 22) 勘查日期： 2025/6/17 114 年檢視情形 上游 集水區面積 (ha) 119.9
22,row-22,23,大武鄉,加津林溪重大溪段,加津林橋,加津林橋,YES,37,80,slides/row-22-no-23-slide-037.webp,加津林溪重大溪段 ( 編號 23) 勘查日期： 2025/6/17 114 年檢視情形 上游 集水區面積 (ha) 5565.9
23,row-23,24,太麻里鄉,東縣DF111野溪,東縣DF111潛勢溪流溢流點,沙崙溪,YES,39,75,slides/row-23-no-24-slide-039.webp,DF111( 編號 24) 沙崙溪 勘查日期： 2025/3/30 114 年檢視情形 上游 S 淤 =9°
24,row-24,25,太麻里鄉,東縣DF113野溪,東縣DF113潛勢溪流溢流點,賓茂一號橋上游,YES,40,75,slides/row-24-no-25-slide-040.webp,DF113( 編號 25) 賓茂一號橋上游 勘查日期： 2025/3/30 114 年檢視情形 上游 S 淤 =6°
25,row-25,26,太麻里鄉,東縣DF114野溪,東縣DF114潛勢溪流溢流點,金崙14鄰,YES,41,75,slides/row-25-no-26-slide-041.webp,DF114( 編號 26) 金崙 14 鄰 勘查日期： 2025/3/30 114 年檢視情形 上游 S
26,row-26,27,太麻里鄉,東縣DF115野溪,東縣DF115潛勢溪流溢流點,仁愛橋,YES,42,75,slides/row-26-no-27-slide-042.webp,DF115( 編號 27) 仁愛橋 勘查日期： 2025/3/30 114 年檢視情形 上游 S 淤 =5°
27,row-27,29,太麻里鄉,東縣DF118野溪,東縣DF118潛勢溪流溢流點,大溪部落,YES,44,75,slides/row-27-no-29-slide-044.webp,DF118( 編號 29) 大溪部落 勘查日期： 2025/3/29 114 年檢視情形 下游 東縣 DF118 集水區面積
